episode,epsilon,episode_reward,rolling_average_reward,mean_recent_loss,replay_buffer_size
51600,0.8774523750000001,-202000,-45070.0,12515.770673828125,100000
51700,0.8772148750000001,-18000,-26080.0,13244.715092773438,100000
51800,0.8769773750000001,12000,-36490.0,12625.40428466797,100000
51900,0.8767398750000001,-150000,-37790.0,13864.535883789062,100000
52000,0.8765023750000001,20000,-35960.0,13213.320087890625,100000
52100,0.876264875,-1000,-51130.0,13486.343798828126,100000
52200,0.876027375,22000,-41690.0,12775.719826660155,100000
52300,0.875789875,13000,-45150.0,12740.09782470703,100000
52400,0.875552375,-10000,-38220.0,12574.724191894531,100000
52500,0.875314875,-5000,-43100.0,13646.007109375,100000
52600,0.875077375,-136000,-39270.0,13412.492592773437,100000
52700,0.874839875,34000,-33120.0,13046.848354492187,100000
52800,0.874602375,23000,-43210.0,13806.964375,100000
